spor,tabel,noegle,stoerrelse,vaerdi
A,variant,brud_alene,omk_R_netto_p50,0.07024064171122721
A,variant,brud_alene,omk_R_netto_p90,0.19901515151514051
A,variant,brud_alene,strejf_uden_gennemhandling_n,17.0
A,variant_strejf,brud_alene,strejf_n,17.0
A,variant_strejf,brud_alene,hvis_fyldt_middel_R_netto,0.9576598472973487
A,variant_strejf,brud_alene,hvis_fyldt_win_rate_pct_netto,58.8235294117647
A,variant_N1,brud_alene,p5,-0.1654155845260449
A,variant_N1,brud_alene,p50,-0.0833162779144597
A,variant_N1,brud_alene,p95,-0.0012825840116369785
A,variant_N1,brud_alene,handler_n_p50,675.0
A,variant_N1,brud_alene,gyldige_n,500.0
A,variant_N1,brud_alene,R,500.0
A,variant,score_ge_2,mde_middel_R_netto,0.13
A,variant,score_ge_2,handler_n,1104.0
A,variant,score_ge_2,dage_med_handel_n,1005.0
A,variant,score_ge_2,middel_R_brutto,0.09286784436638655
A,variant,score_ge_2,middel_R_netto,-0.0018686098786092958
A,variant,score_ge_2,middel_R_netto_ci95_lo,-0.07878420172146196
A,variant,score_ge_2,middel_R_netto_ci95_hi,0.07504698196424338
A,variant,score_ge_2,win_rate_pct_netto,28.804347826086957
A,variant,score_ge_2,win_rate_ci95_lo_pct,26.210187450987743
A,variant,score_ge_2,win_rate_ci95_hi_pct,31.545500759291944
A,variant,score_ge_2,holder_pct,50.45289855072464
A,variant,score_ge_2,holder_ci95_lo_pct,47.50716726793703
A,variant,score_ge_2,holder_ci95_hi_pct,53.39548896688605
A,variant,score_ge_2,tvetydige_n,11.0
A,variant,score_ge_2,tvetydige_pct,0.9963768115942029
A,variant,score_ge_2,udfald_maal_pct,28.804347826086957
A,variant,score_ge_2,udfald_stop_pct,50.0
A,variant,score_ge_2,udfald_BE_pct,16.032608695652176
A,variant,score_ge_2,udfald_tidsexit_pct,5.163043478260869
A,variant,score_ge_2,udfald_censureret_pct,0.0
A,variant,score_ge_2,signaler_sprunget_over_position_n,52.0
A,variant,score_ge_2,signaler_sprunget_over_dagslukket_n,1479.0
A,variant,score_ge_2,signaler_n,2651.0
A,variant,score_ge_2,omk_R_netto_p50,0.06542963885429401
A,variant,score_ge_2,omk_R_netto_p90,0.19105454545454545
A,variant,score_ge_2,strejf_uden_gennemhandling_n,16.0
A,variant_strejf,score_ge_2,strejf_n,16.0
A,variant_strejf,score_ge_2,hvis_fyldt_middel_R_netto,0.7041598465873175
A,variant_strejf,score_ge_2,hvis_fyldt_win_rate_pct_netto,43.75
A,variant_N1,score_ge_2,p5,-0.1533195733681109
A,variant_N1,score_ge_2,p50,-0.08135125764435272
A,variant_N1,score_ge_2,p95,-0.006456115454284486
A,variant_N1,score_ge_2,handler_n_p50,782.0
A,variant_N1,score_ge_2,gyldige_n,500.0
A,variant_N1,score_ge_2,R,500.0
A,variant,score_ge_3,mde_middel_R_netto,0.14
A,variant,score_ge_3,handler_n,937.0
A,variant,score_ge_3,dage_med_handel_n,875.0
A,variant,score_ge_3,middel_R_brutto,0.07048078045498184
A,variant,score_ge_3,middel_R_netto,-0.02685307162252486
A,variant,score_ge_3,middel_R_netto_ci95_lo,-0.11053810226206631
A,variant,score_ge_3,middel_R_netto_ci95_hi,0.0568319590170166
A,variant,score_ge_3,win_rate_pct_netto,28.38847385272145
A,variant,score_ge_3,win_rate_ci95_lo_pct,25.594302467329495
A,variant,score_ge_3,win_rate_ci95_hi_pct,31.359125105085223
A,variant,score_ge_3,holder_pct,49.30629669156884
A,variant,score_ge_3,holder_ci95_lo_pct,46.11451619132614
A,variant,score_ge_3,holder_ci95_hi_pct,52.503741977664944
A,variant,score_ge_3,tvetydige_n,9.0
A,variant,score_ge_3,tvetydige_pct,0.96051227321238
A,variant,score_ge_3,udfald_maal_pct,28.38847385272145
A,variant,score_ge_3,udfald_stop_pct,51.2273212379936
A,variant,score_ge_3,udfald_BE_pct,14.941302027748133
A,variant,score_ge_3,udfald_tidsexit_pct,5.44290288153682
A,variant,score_ge_3,udfald_censureret_pct,0.0
A,variant,score_ge_3,signaler_sprunget_over_position_n,29.0
A,variant,score_ge_3,signaler_sprunget_over_dagslukket_n,857.0
A,variant,score_ge_3,signaler_n,1840.0
A,variant,score_ge_3,omk_R_netto_p50,0.07128900949796753
A,variant,score_ge_3,omk_R_netto_p90,0.19901515151514051
A,variant,score_ge_3,strejf_uden_gennemhandling_n,17.0
A,variant_strejf,score_ge_3,strejf_n,17.0
A,variant_strejf,score_ge_3,hvis_fyldt_middel_R_netto,0.9744179124206014
A,variant_strejf,score_ge_3,hvis_fyldt_win_rate_pct_netto,58.8235294117647
A,variant_N1,score_ge_3,p5,-0.15512702830934827
A,variant_N1,score_ge_3,p50,-0.07307078879921675
A,variant_N1,score_ge_3,p95,0.00944744029802246
A,variant_N1,score_ge_3,handler_n_p50,610.0
A,variant_N1,score_ge_3,gyldige_n,500.0
A,variant_N1,score_ge_3,R,500.0
A,variant,score_ge_4,mde_middel_R_netto,0.17
A,variant,score_ge_4,handler_n,598.0
A,variant,score_ge_4,dage_med_handel_n,578.0
A,variant,score_ge_4,middel_R_brutto,0.09492183331447589
A,variant,score_ge_4,middel_R_netto,-0.002859971080450033
A,variant,score_ge_4,middel_R_netto_ci95_lo,-0.10826140747414434
A,variant,score_ge_4,middel_R_netto_ci95_hi,0.10254146531324426
A,variant,score_ge_4,win_rate_pct_netto,28.762541806020067
A,variant,score_ge_4,win_rate_ci95_lo_pct,25.279170647575505
A,variant,score_ge_4,win_rate_ci95_hi_pct,32.517023636262635
A,variant,score_ge_4,holder_pct,49.163879598662206
A,variant,score_ge_4,holder_ci95_lo_pct,45.175136960060456
A,variant,score_ge_4,holder_ci95_hi_pct,53.16329588575994
A,variant,score_ge_4,tvetydige_n,6.0
